[2026-01-07 14:04:03] project: galaxian
[2026-01-07 14:04:03] logger/dir: logger
[2026-01-07 14:04:03] env/max_episode_steps: 400
[2026-01-07 14:04:03] train/lr: 1e-3
[2026-01-07 14:04:03] sampling/percentile: 80
[2026-01-07 14:04:03] sampling/batch_size: 300
[2026-01-07 14:04:03] sampling/epochs: 50
[2026-01-07 14:04:03] export/tensorboard: runs
[2026-01-07 14:04:03] export/video_folder: video
[2026-01-07 14:04:03] export/model: galaxian.pth
[2026-01-07 14:04:03] session_id: quiet_hill_4398
[2026-01-07 14:57:53] [12]: loss=1.668021, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:53] [12]: loss=1.664487, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:53] [12]: loss=1.662024, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:53] [12]: loss=1.658352, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:54] [12]: loss=1.655634, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:54] [12]: loss=1.652629, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:54] [12]: loss=1.648624, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:54] [12]: loss=1.645947, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:54] [12]: loss=1.642964, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:54] [12]: loss=1.641228, reward_mean=561.2, rw_bound=692.0
[2026-01-07 15:02:17] [13]: loss=1.646020, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:18] [13]: loss=1.663846, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:18] [13]: loss=1.665171, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:18] [13]: loss=1.654070, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:18] [13]: loss=1.649383, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:18] [13]: loss=1.651117, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:18] [13]: loss=1.643649, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:19] [13]: loss=1.639429, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:19] [13]: loss=1.636698, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:19] [13]: loss=1.630371, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:19] [13]: loss=1.628973, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:19] [13]: loss=1.623810, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:19] [13]: loss=1.621749, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:19] [13]: loss=1.617777, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:20] [13]: loss=1.614170, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:20] [13]: loss=1.610802, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:20] [13]: loss=1.606710, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:20] [13]: loss=1.604276, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:20] [13]: loss=1.599595, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:02:20] [13]: loss=1.596403, reward_mean=584.4, rw_bound=720.0
[2026-01-07 15:06:44] [14]: loss=1.598855, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:44] [14]: loss=1.599006, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:44] [14]: loss=1.595443, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:44] [14]: loss=1.591120, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:45] [14]: loss=1.587305, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:45] [14]: loss=1.584227, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:45] [14]: loss=1.578914, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:45] [14]: loss=1.574653, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:45] [14]: loss=1.570201, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:45] [14]: loss=1.566655, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:46] [14]: loss=1.563957, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:46] [14]: loss=1.564522, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:46] [14]: loss=1.558283, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:46] [14]: loss=1.550871, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:46] [14]: loss=1.546924, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:46] [14]: loss=1.543157, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:46] [14]: loss=1.539195, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:47] [14]: loss=1.533914, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:47] [14]: loss=1.530185, reward_mean=587.5, rw_bound=730.0
[2026-01-07 15:06:47] [14]: loss=1.526383, reward_mean=587.5, rw_bound=730.0
