[2026-01-08 15:22:13] project: cartpole_mcts
[2026-01-08 15:22:13] logger/dir: logger
[2026-01-08 15:22:13] env/max_episode_steps: 500
[2026-01-08 15:22:13] mcts/iterations: 40
[2026-01-08 15:22:13] mcts/rollout_cap: 30.0
[2026-01-08 15:22:13] export/video_folder: video
[2026-01-08 15:22:13] session_id: silent_feather_af76
[2026-01-08 15:22:13] project: cartpole_mcts
[2026-01-08 15:22:13] logger/dir: logger
[2026-01-08 15:22:13] env/max_episode_steps: 500
[2026-01-08 15:22:13] mcts/iterations: 40
[2026-01-08 15:22:13] mcts/rollout_cap: 30.0
[2026-01-08 15:22:13] export/video_folder: video
[2026-01-08 15:22:16] [155]: reward=1.0, ep_return=155.0, root_visits=40, root_mean=17.400, best_q=19.238
[2026-01-08 15:22:16] [156]: reward=1.0, ep_return=156.0, root_visits=40, root_mean=18.850, best_q=19.051
[2026-01-08 15:22:16] [157]: reward=1.0, ep_return=157.0, root_visits=40, root_mean=19.250, best_q=19.513
[2026-01-08 15:22:16] [158]: reward=1.0, ep_return=158.0, root_visits=40, root_mean=17.625, best_q=17.921
[2026-01-08 15:22:16] [159]: reward=1.0, ep_return=159.0, root_visits=40, root_mean=18.175, best_q=18.545
[2026-01-08 15:22:16] [160]: reward=1.0, ep_return=160.0, root_visits=40, root_mean=17.700, best_q=18.000
[2026-01-08 15:22:16] [161]: reward=1.0, ep_return=161.0, root_visits=40, root_mean=18.100, best_q=18.359
[2026-01-08 15:22:16] [162]: reward=1.0, ep_return=162.0, root_visits=40, root_mean=16.400, best_q=16.538
[2026-01-08 15:22:16] [163]: reward=1.0, ep_return=163.0, root_visits=40, root_mean=17.225, best_q=17.553
[2026-01-08 15:22:16] [164]: reward=1.0, ep_return=164.0, root_visits=40, root_mean=17.550, best_q=17.744
[2026-01-08 15:22:16] [165]: reward=1.0, ep_return=165.0, root_visits=40, root_mean=18.125, best_q=18.359
[2026-01-08 15:22:16] [166]: reward=1.0, ep_return=166.0, root_visits=40, root_mean=17.500, best_q=17.718
[2026-01-08 15:22:16] [167]: reward=1.0, ep_return=167.0, root_visits=40, root_mean=17.375, best_q=17.513
[2026-01-08 15:22:16] [168]: reward=1.0, ep_return=168.0, root_visits=40, root_mean=17.925, best_q=18.162
[2026-01-08 15:22:16] [169]: reward=1.0, ep_return=169.0, root_visits=40, root_mean=17.900, best_q=18.222
[2026-01-08 15:22:16] [170]: reward=1.0, ep_return=170.0, root_visits=40, root_mean=18.825, best_q=19.000
[2026-01-08 15:22:16] [171]: reward=1.0, ep_return=171.0, root_visits=40, root_mean=18.600, best_q=18.744
[2026-01-08 15:22:16] [172]: reward=1.0, ep_return=172.0, root_visits=40, root_mean=15.475, best_q=15.615
[2026-01-08 15:22:16] [173]: reward=1.0, ep_return=173.0, root_visits=40, root_mean=15.850, best_q=15.949
[2026-01-08 15:22:16] [174]: reward=1.0, ep_return=174.0, root_visits=40, root_mean=19.825, best_q=20.103
[2026-01-08 15:22:16] [175]: reward=1.0, ep_return=175.0, root_visits=40, root_mean=16.450, best_q=16.641
[2026-01-08 15:22:16] [176]: reward=1.0, ep_return=176.0, root_visits=40, root_mean=18.700, best_q=18.872
[2026-01-08 15:22:16] [177]: reward=1.0, ep_return=177.0, root_visits=40, root_mean=18.375, best_q=18.632
[2026-01-08 15:22:16] [178]: reward=1.0, ep_return=178.0, root_visits=40, root_mean=17.225, best_q=17.282
[2026-01-08 15:22:16] [179]: reward=1.0, ep_return=179.0, root_visits=40, root_mean=19.025, best_q=19.350
[2026-01-08 15:22:16] [180]: reward=1.0, ep_return=180.0, root_visits=40, root_mean=19.575, best_q=19.872
[2026-01-08 15:22:16] [181]: reward=1.0, ep_return=181.0, root_visits=40, root_mean=16.325, best_q=16.410
[2026-01-08 15:22:16] [182]: reward=1.0, ep_return=182.0, root_visits=40, root_mean=18.575, best_q=18.946
[2026-01-08 15:22:16] [183]: reward=1.0, ep_return=183.0, root_visits=40, root_mean=17.400, best_q=17.513
[2026-01-08 15:22:16] [184]: reward=1.0, ep_return=184.0, root_visits=40, root_mean=20.075, best_q=20.308
[2026-01-08 15:22:16] [185]: reward=1.0, ep_return=185.0, root_visits=40, root_mean=16.950, best_q=17.077
[2026-01-08 15:22:16] [186]: reward=1.0, ep_return=186.0, root_visits=40, root_mean=17.850, best_q=17.949
[2026-01-08 15:22:17] [187]: reward=1.0, ep_return=187.0, root_visits=40, root_mean=16.050, best_q=16.000
